City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,22.29,66,20,5.14,ZA,1681386978
1,hovd,48.0056,91.6419,4.11,25,69,1.77,MN,1681386978
2,rikitea,-23.1203,-134.9692,25.64,70,100,5.48,PF,1681386979
3,marshall,34.3834,-86.3333,15.76,67,89,4.34,US,1681386762
4,vaini,-21.2,-175.2,25.09,88,20,3.6,TO,1681386979
5,college,64.8569,-147.8028,-10.82,82,100,2.57,US,1681386979
6,hilo,19.7297,-155.09,21.27,93,75,3.58,US,1681386979
7,matadi,-5.8167,13.45,32.19,58,78,0.93,CD,1681386979
8,hasaki,35.7333,140.8333,14.56,69,0,8.16,JP,1681386980
9,albany,42.6001,-73.9662,18.18,69,0,0.89,US,1681386980
10,freeport,40.6576,-73.5832,21.09,56,0,1.54,US,1681386709
11,santa cruz,-17.8,-63.1667,24.7,88,75,6.17,BO,1681386978
12,ambon,-3.6954,128.1814,26.08,94,40,3.09,ID,1681386463
13,port elizabeth,-33.918,25.5701,25.05,51,0,8.75,ZA,1681386942
14,clyde river,70.4692,-68.5914,-14.87,72,100,9.77,CA,1681386981
15,ushuaia,-54.8,-68.3,4.81,81,75,2.57,AR,1681386687
16,cherskiy,68.75,161.3,-24.05,100,83,1.24,RU,1681386981
17,avarua,-21.2078,-159.775,25.03,78,75,2.06,CK,1681386981
18,east london,-33.0153,27.9116,21.52,60,20,5.14,ZA,1681386982
19,talcahuano,-36.7167,-73.1167,13.82,94,100,1.54,CL,1681386816
20,kirakira,-10.4544,161.9205,26.65,82,28,0.9,SB,1681386982
21,yulara,-25.2406,130.9889,26.44,48,88,2.81,AU,1681386983
22,hermanus,-34.4187,19.2345,21.56,69,46,6.52,ZA,1681386983
23,aktash,50.3,87.7333,-4.94,75,100,2.01,RU,1681386983
24,mataura,-46.1927,168.8643,11.38,87,59,3.66,NZ,1681386984
25,pitiquito,30.7,-112.0833,17.49,27,82,3.53,MX,1681386984
26,atuona,-9.8,-139.0333,26.85,66,96,1.21,PF,1681386984
27,tautira,-17.7333,-149.15,26.79,69,17,5.81,PF,1681386985
28,ponta do sol,32.6667,-17.1,22.06,70,14,1.35,PT,1681386985
29,christchurch,-43.5333,172.6333,13.84,89,75,2.57,NZ,1681386707
30,chokurdakh,70.6333,147.9167,-24.82,100,44,2.59,RU,1681386985
31,taksimo,56.3444,114.8794,-3.41,78,100,1.1,RU,1681386986
32,kruisfontein,-34.0033,24.7314,23.82,35,66,8.11,ZA,1681386986
33,mendi,-6.1761,143.6513,13.62,98,99,0.73,PG,1681386986
34,maragogi,-9.0122,-35.2225,27.3,75,97,5.9,BR,1681386986
35,port alfred,-33.5906,26.891,20.1,79,95,3.13,ZA,1681386987
36,neepawa,50.2289,-99.4664,2.22,94,100,2.12,CA,1681386987
37,maceio,-9.6658,-35.7353,25.69,83,75,1.54,BR,1681386517
38,upernavik,72.7868,-56.1549,-9.57,88,100,0.89,GL,1681386987
39,hirara,24.8,125.2833,23.15,94,75,5.14,JP,1681386987
40,kudahuvadhoo,2.6708,72.8944,29.09,71,22,2.62,MV,1681386988
41,la ronge,55.1001,-105.2842,-3.86,86,20,0.0,CA,1681386988
42,kapaa,22.0752,-159.319,23.18,87,40,5.66,US,1681386988
43,vargem grande,-3.5431,-43.9158,27.5,81,82,0.99,BR,1681386988
44,nova vicosa,-17.8919,-39.3719,25.26,88,62,2.71,BR,1681386988
45,dikson,73.5069,80.5464,-16.29,88,96,9.09,RU,1681386988
46,ribeira grande,38.5167,-28.7,18.22,88,75,7.15,PT,1681386989
47,antalaha,-14.9003,50.2788,28.63,66,41,3.36,MG,1681386989
48,punta arenas,-53.15,-70.9167,-0.94,93,75,3.09,CL,1681386989
49,henties bay,-22.116,14.2845,18.61,68,2,5.24,NA,1681386989
50,qui nhon,13.7667,109.2333,26.07,89,31,2.01,VN,1681386989
51,busselton,-33.65,115.3333,12.49,80,96,10.29,AU,1681386990
52,bandarbeyla,9.4942,50.8122,29.72,67,56,4.64,SO,1681386990
53,airai,-8.9266,125.4092,16.88,94,96,0.58,TL,1681386990
54,puerto ayora,-0.7393,-90.3518,24.19,96,56,0.57,EC,1681386991
55,kurumkan,54.3,110.3,-4.75,59,77,3.69,RU,1681386991
56,geraldton,-28.7667,114.6,19.23,94,75,8.75,AU,1681386991
57,hamilton,39.1834,-84.5333,14.43,69,20,0.0,US,1681386936
58,qaanaaq,77.484,-69.3632,-14.63,74,0,2.32,GL,1681386991
59,nuuk,64.1835,-51.7216,0.34,80,75,2.06,GL,1681386991
60,luau,-10.7073,22.2247,23.73,74,91,1.02,AO,1681386992
61,narasapur,16.45,81.6667,30.8,57,1,5.73,IN,1681386992
62,bera,24.0833,89.6167,35.45,21,1,1.75,BD,1681386989
63,tiksi,71.6872,128.8694,-19.9,96,100,1.65,RU,1681386993
64,zhaozhou,45.6833,125.3167,6.33,30,1,2.9,CN,1681386993
65,qaqortoq,60.7167,-46.0333,1.33,75,100,0.69,GL,1681386993
66,morehead,37.2711,-87.1764,4.86,100,0,0.0,US,1681386993
67,faya,18.3851,42.4509,23.06,39,0,5.11,SA,1681386994
68,thompson,55.7435,-97.8558,-2.91,93,100,1.54,CA,1681386694
69,arraial do cabo,-22.9661,-42.0278,26.92,74,0,5.14,BR,1681386994
70,tasiilaq,65.6145,-37.6368,2.09,89,100,1.59,GL,1681386994
71,lebu,-37.6167,-73.65,12.33,94,65,2.06,CL,1681386995
72,kahului,20.8947,-156.47,23.8,78,20,7.15,US,1681386995
73,darhan,49.4867,105.9228,-1.25,49,90,2.22,MN,1681386995
74,shizunai,42.3339,142.3669,5.77,73,31,2.73,JP,1681386995
75,buala,-8.145,159.5921,26.58,83,94,0.98,SB,1681386996
76,farafangana,-22.8167,47.8333,26.78,74,39,3.27,MG,1681386996
77,lompoc,34.6391,-120.4579,8.9,80,100,8.05,US,1681386887
78,butaritari,3.0707,172.7902,27.42,80,35,5.5,KI,1681386996
79,caruray,10.3094,119.0128,26.49,82,46,1.6,PH,1681386996
80,comodoro rivadavia,-45.8667,-67.5,0.92,55,20,3.09,AR,1681386997
81,saldanha,-33.0117,17.9442,19.03,85,88,2.73,ZA,1681386997
